Plate	Inplatecount	Sample	IgGTotal_RBD alpha	IgGTotal_N	IgGTotal_RBD beta	IgGTotal_RBD omicron	IgGTotal_RBD lambda	IgGTotal_RBD gamma	IgGTotal_zebra	IgGTotal_Eadp501	IgGTotal_RBD delta	IgGTotal_RBD wuhan	IgGTotal_AMA1	IgGTotal_MSP1	IgGTotal_HRPII	IgGTotal_Tetanus	IgGTotal_HCoV-229E	IgGTotal_HCoV-NL63	IgGTotal_HCoV-OC43	IgGTotal_pp28	IgGTotal_pp65	IgGTotal_EBNA1	IgGTotal_VCA	IgGTotal_FL spike	IgGTotal_BSA	IgGTotal_CelTos	IgGTotal_CSP	IgGTotal_HCoV-HKU1
PLATE1	1	HC-070K	75034.5	15800.5	37686	11146	59885	34190	3792	253	96868	49134	86996	79935.5	14671	38155	6738	23839	126984	8046	1176	91818	61222	44678	382	14568	7215	67540
PLATE1	1	HC-071K	8546	10082	4306	13027	2123	5562	512.5	28.5	16489.5	3734	1234	51238	386	15792	7684	38751	90791.5	23567	904	51307	46028.5	26137.5	357	260.5	182.5	6821.5
PLATE1	1	HC-072K	10529	3943.5	3376.5	178.5	2995.5	3652	615.5	411.5	6703	4214	16847.5	86106	1283	4144	7364.5	13925	65404	33894	1161	133931	86609	6087.5	404	652	9255.5	9375
PLATE1	1	HC-073K	2408	3059.5	862	6128	768.5	876.5	-216.5	-253.5	7217.5	797	3315	90619	610.5	1137	3350.5	10948	2787	5201.5	702.5	59783	48198	8477	564	454	2640	20915
PLATE1	1	HC-074K	5153.5	782	2899.5	1292	1632	1585	267.5	214.5	2614.5	1231.5	31502.5	92580.5	8045.5	3192.5	8517.5	4749.5	59071	3892.5	886.5	1713.5	130260.5	1215.5	327.5	899.5	12220	1704.5
PLATE1	1	HC-075K	2304	3207	576	11	1184	1090.5	407	54	4077.5	1087	40386.5	64368	10941	3241	3658	3296	15719	7152.5	1068	39987	46796	2880.5	435	809	2062	4520.5
PLATE1	1	HC-076K	7740.5	9595	2311	7018	1397.5	2509	154	210.5	11462.5	3329	79958	98878	30624.5	48002	3811	2501	123716	5218	1594	68350	77296	17897.5	474	668.5	1484	44346
PLATE1	1	HC-077K	13274.5	3534	5215.5	220	4822.5	5194.5	-14.5	-54.5	9807.5	5637.5	1447.5	19519.5	152.5	4570.5	1373.5	15605	37250.5	2912.5	489.5	29333.5	33320.5	9600.5	314.5	72.5	165	12353.5
PLATE1	1	HC-078K	5236	8414.5	3167	5146.5	2944	2916.5	1519	320	9984.5	3045	20732	61725	2908	10181.5	16493.5	24468	84187	8237.5	546.5	88483	92801	5856	701	93	451.5	1410.5
PLATE1	1	HC-079K	20762	4607.5	6094	1255.5	17769	7076.5	72	25	20522	12900	56488	52249.5	4651.5	15883.5	1445	15266.5	74927.5	1874	352	64896.5	36539.5	10930	580	131	1891	2569
